Symbol;OrderId;ClientId;ClientOrderId;Status;Type;Side;Price;Gain;Quantity;Commission;tradeId;transactDate;transactTime;Timestamp
SOLUSDT;5475932888;3;DI7bPJjD4kmEKVSATAuC4C;FILLED;MARKET;BUY;168.67;0.0;0.09;9e-05;507322055;2024-03-20;00:00:24;1710889224740
SOLUSDT;5485987987;3;bqHsFiZI9BLYT8gw0UiIS8;FILLED;MARKET;SELL;173.48;0.3848000000000002;0.08;0.0138784;508294980;2024-03-20;08:59:49;1710921589597
SOLUSDT;5501062248;3;QKtttrXLcLJkJYG90aMOZH;FILLED;MARKET;BUY;189.92;0.0;0.08;8e-05;510012099;2024-03-21;00:00:23;1710975623797
FETUSDT;1402653391;3;3H9yj3We8FEUTB13L9R4wN;FILLED;MARKET;BUY;3.3023;0.0;3.0;0.003;112492645;2024-03-29;00:00:17;1711666817992
FETUSDT;1402653757;3;m3vkuIGdET2pvI8PnxBKJ6;FILLED;MARKET;SELL;3.3011;-0.0023999999999997;2.0;0.0066022;112492684;2024-03-29;00:00:23;1711666823443
AUDIOUSDT;750583319;3;rju1JhvvgWmjokaQBak6Kv;FILLED;MARKET;BUY;0.311;0.0;53.5;0.0535;52868167;2024-03-30;00:00:19;1711753219476
SOLUSDT;5611966474;3;vRmnBvop0TA0mm35tisWTM;FILLED;MARKET;SELL;195.38;0.3822000000000006;0.07;0.0136766;520208042;2024-03-30;09:25:26;1711787126446
FETUSDT;1415458852;3;9QLmP99xv9N7joDGh2VrMU;FILLED;MARKET;BUY;3.168;0.0;2.0;0.002;113372517;2024-03-31;00:00:19;1711839619937
SOLUSDT;5616280728;3;ExCeUyzSSXvunNw3qVBCMc;FILLED;MARKET;BUY;195.93;0.0;0.07;7e-05;520576588;2024-03-31;00:00:32;1711839632290
FETUSDT;1415458852;3;9QLmP99xv9N7joDGh2VrMU;FILLED;MARKET;SELL;3.168;0.0;2.0;0.002;113372517;2024-04-01;00:00:19;1711839619937
BTCUSDT;27272070111;3;DmsYafLMQQ2tTKQxItT59l;FILLED;MARKET;BUY;66794.36;0.0;0.00024;2.4e-07;3603173149;2024-05-18;00:00:14;1715983214658
RUNEUSDT;1659618983;3;oAS9ta14DqpkmeyL8xbmrY;FILLED;MARKET;BUY;6.812;0.0;1.9;0.0019;124836275;2024-05-18;00:05:41;1715983541145
AVAXUSDT;3115131136;3;P7xjkMIJYJIaQ4E5SO9dS6;FILLED;MARKET;BUY;38.97;0.0;0.42;0.00042;277004102;2024-05-21;00:00:13;1716242413105
ETHUSDT;17769581000;3;Mt89g5E8QdBFfAGSP470fc;FILLED;MARKET;BUY;3623.0;0.0;0.0046;4.6e-06;1426374149;2024-05-21;00:00:26;1716242426874
AVAXUSDT;3115906229;3;XrWRP2IUIYwJWA96N5S6J9;FILLED;MARKET;SELL;40.15;0.4837999999999998;0.41;0.0164615;277055114;2024-05-21;03:15:10;1716254110801
RUNEUSDT;1666246016;3;yZs6IvillmHuCbhn4N099u;FILLED;MARKET;SELL;7.067;0.4589999999999998;1.8;0.0127206;125319156;2024-05-21;03:25:20;1716254720127
BTCUSDT;27340295466;3;NUxlDdfVADGX0b11ZUkVvz;FILLED;MARKET;SELL;69688.92;0.6657487999999995;0.00023;0.01602845;3608435714;2024-05-21;19:00:12;1716310812961
ETHUSDT;17792845606;3;snh4ShuWRurI2BkLS8LkXH;FILLED;MARKET;SELL;3743.4;0.5418000000000004;0.0045;0.0168453;1428547429;2024-05-21;19:15:17;1716311717148
AVAXUSDT;3118749280;3;HDeROsAJGRqGvA428P4Bqe;FILLED;MARKET;BUY;40.86;0.0;0.41;0.00041;277214067;2024-05-22;00:00:13;1716328813910
BTCUSDT;27344676373;3;sBDQuAYF3Va9oozWyeYV1b;FILLED;MARKET;BUY;69774.0;0.0;0.00023;2.3e-07;3608728806;2024-05-22;00:00:22;1716328822516
ETHUSDT;17797075760;3;2L4P1pbW9tRsxPzRLBjSp7;FILLED;MARKET;BUY;3753.72;0.0;0.0044;4.4e-06;1428794899;2024-05-22;00:00:32;1716328832038
INJUSDT;1366209284;3;dL0XeJa3jdKFyQXKOn9saa;FILLED;MARKET;BUY;27.79;0.0;0.31;0.00031;88196695;2024-05-22;00:05:53;1716329153900
ONEUSDT;1503794724;3;o6LpLbHT87RDsyQvcDy45e;FILLED;MARKET;BUY;0.02279;0.0;617.2;0.6172;117393667;2024-05-22;00:06:03;1716329163085
RUNEUSDT;1668473743;3;qLMf9ddXu22MBtnkytniZK;FILLED;MARKET;BUY;6.807;0.0;1.8;0.0018;125468631;2024-05-22;00:06:11;1716329171493
ETHUSDT;17833608261;3;DQNakcuI7PqXMg41vBAgGy;FILLED;MARKET;SELL;3880.40000000;0.5447240000000012;0.0043;0.01668572;1431056629;2024-05-23;15:00:15;1716469215776
